Maker,2W,3W,4W
"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",0,0,17
M/S SUPERIOR MANUFACTURING COMPANY,0,0,5
M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,1
MUNDE MECHANICAL WORKS,0,0,3
MYTRAH MOBILITY PVT LTD,0,0,10
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,271,1
NABHKIRAN AGRO INDUSTRIES,0,0,1
"NAIK TROLLEY AND IMPL,SNG",0,0,29
NAND ELECTRIC MOTOR VEHICLE PVT LTD,0,1,0
NARINDERA AGRO WORKS,0,0,2
NARMADA INDUSTRIES,0,0,1
NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,49,0
NEELAM CYCLE,0,2,0
NEUON MOTORS LLP,0,11,0
NEW ARCANA INDIA,0,85,0
NEW DEVE AGRO WORKS,0,0,3
NEW GAHIR AGRO INDUSTRIES,0,0,10
NEW GURDIAL AGRO INDUSTRIES PVT LTD,0,0,11
NEW HOLLAND FIAT INDIA PVT. LTD.,0,0,1
NEW KISAN ENGINEERING WORKS,0,0,3
NEW MALLIKARJUNA ENG WORKS,0,0,13
NEW MARTHWADA QUALITY TRAILOR,0,0,1
NEW SUPER QUALITY TRAILOR,0,0,2
NHD MOTORS,0,22,0
NIBE MOTORS PVT LTD,0,16,0
NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),28,0,0
NIPUN SANYANTRA PVT LTD,0,42,0
NISIKI TECHNOLOGIES PVT LTD,5,0,0
NISSAN MOTOR INDIA PVT LTD,0,0,2290
N K INDUSTRIES,0,0,11
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,167,0
N.S. AGRO WORKS,0,0,1
NUMEROS MOTORS PVT LTD,70,0,0
ODYSSE ELECTRIC VEHICLES PVT LTD,33,0,0
OGATA MOTORS INDIA PVT LTD,0,1,0
OKAYA EV PVT LTD,1563,0,0
OKINAWA AUTOTECH PVT LTD,3218,0,0
OK PLAY INDIA LTD,0,7,0
OLA ELECTRIC TECHNOLOGIES PVT LTD,22070,0,0
OLECTRA GREENTECH LTD,0,0,32
OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,224,0
OMEGA CONSTRUCTION EQUIPMENT PVT LTD,0,0,1
OMEGA SALES & AGRO INDUSTRIES,0,7,0
