Maker,2W,3W,4W
KGN,0,18,0
KGN INDUSTRIES,0,68,0
KHALSAE-VEHICLES PVT LTD,0,686,0
KHAN ENGINEERING WORKS,0,0,2
KIA INDIA PRIVATE LIMITED,0,0,19122
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1096,164,0
KION INDIA PVT LTD,0,0,76
KIRAN AUTOMOBILE INDUSTRY,0,19,0
KLB KOMAKI PVT LTD,334,71,0
KPT INDUSTRIES LTD,0,1,0
KPT MOTORS,0,20,0
KRISHNA ENGINEERING WORKS,0,125,0
KRISHNA VEHICALS,0,4,0
KRUSHI KISAN TRAILORS,0,0,2
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,17
K.S. AGROTECH  PVT LTD,0,0,16
KSR SOLUTION (IMPORTER: KAWVELOCE MOTORS PVT LTD),0,0,1
K T ENTERPRISES,0,3,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1273
KUKU AUTOMOTIVES,0,16,0
KULAR AGRO WORKS,0,0,1
KUMARAN ENGINEERING ENTERPRISES,0,59,0
KUMAR ENGINEERING,0,2,0
KUSHAL AGRO IND,0,0,2
K. V. INDUSTRIES,0,2,0
KYTE ENERGY PVT. LTD.,40,0,0
LAKSHYA AUTO SALES CORPORATION,0,9,0
LAKSHYA MOTORS,0,5,0
LALA G E RICKSHAW AND SPARE PARTS,0,24,0
LAWAT MOTORS LLP,0,26,0
LAXMI GOVINDA AGRO INDUSTRIES BALASORE BALIA,0,0,1
LECTRIX E VEHICLES PVT LTD,991,401,0
LEOPAN MOTORS PRIVATE LIMITED,0,1,0
LIMO AUTO CARE PVT LTD,0,7,0
LIONIZE AUTOMOBILE PVT LTD,0,63,0
LIUGONG INDIA PVT. LTD,0,0,74
LOCAL TRAILER MANUFACTURER,0,0,3549
LOHAKA INDUSTRIES PVT LTD,0,4,0
LOHIA AUTO INDUSTRIES,0,100,0
LORDS AUTOMATIVE PVT LTD,1,0,0
LOTEY AGRICULTURE WORKS,0,0,2
LOTEY INDUSTRY,0,0,2
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,24
LUCKY INDUSTRIES,0,7,0
LUXUS GREEN MOBILITY PVT LTD,0,2,0
MAAA MANASA TRAILOR WORKS,0,0,1
MAA KALPANA ENTERPRISE,0,39,0
MAA SHAKTI EXIM PVT LTD,0,208,0
MAA TARINI ENGINEERING,0,0,1
MAC AUTO INDIA,0,78,0
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),6,0,0
MAHAK TEEN UDYOG,0,32,0
MAHAVIR TRACTOR AND IMPLEMENTS,0,0,110
MAHINDRA ELECTRIC MOBILITY LIMITED,0,3,0
MAHINDRA LAST MILE MOBILITY LTD,0,7820,1687
MAHINDRA & MAHINDRA LIMITED,0,48,66298
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,14704
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,19531
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,22
MAHTAB BODY MAKER,0,87,0
MALAK TECHNO PVT LTD,0,3,0
MALI ENTERPRISES PVT LTD,0,8,0
MALKIT AGRO TECH PVT. LTD,0,0,76
MANIRAM ELECTRIC VEHICLE PVT LTD,0,87,0
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,9,0
MANITA CITY MOTORS LLP,0,225,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,44
MANKU AGRO TECH PVT LTD,0,0,154
MANMOHAN KAUR,0,1,0
MANOJ ENGINEERING WORKS,0,0,1
MARATHWADA QUALITY TRAILER,0,0,3
MARKUS,0,4,0
MARUTHISAN PVT LTD,7,0,0
MARUTI BHIWANI E AUTOMOBILES,0,9,1
MARUTI SUZUKI INDIA LTD,0,0,133894
MARUTI UDYOG LTD,0,0,5
MASERATI S.P.A,0,0,4
MATHARU ENGINEERING AGRI WORKS,0,0,1
MATHARU ENGINEERING WORKS,0,0,1
MATTER MOTOR WORKS PVT LTD,7,0,0
MAYUR ENGINEERING MAYURBHANJ BARIPADA,0,0,2
"MAYUR ENTERPRISES,BARIPADA",0,0,2
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),0,0,3
MECPOWER MOBILITY PVT. LTD.,41,0,0
MERCEDES -BENZ AG,0,0,129
MERCEDES-BENZ INDIA PVT LTD,0,0,1323
METAL PRESSING & ENGG WORKS,0,1,0
MEW ELECTRICALS LIMITED,1,0,0
M G INDUSTRIES,0,4,0
MICROAUTOTECH PVT. LTD.,1,0,0
MINI METRO EV L.L.P,0,1227,0
MIRAKLE 5 AUTOMOBILES PVT LTD,2,0,0
M K BROTHERS,0,15,0
M.K. ENTERPRISES,0,121,0
MLR AUTO LTD,0,592,0
MOHAN GENERAL TRADING COMPANY,0,2,0
MOMU AUTOMOTIVE,0,27,0
MONA GREEN AUTOMOBILES PVT LTD,0,2,0
MONDAL TRADING,0,25,0
MORGAN MOTOR COMPANY (IMPORTER: REGALIA LUXURY),0,0,10
MORRIS MOTORS LTD,0,0,1
MOTOVOLT MOBILITY PVT LTD,48,0,0
MOVE STONE SERVICES PVT LTD,0,337,0
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,1
MS ANUP ENTERPRISES TRAILER SNG,0,0,2
M/S BHARAT TRAILERS,0,0,4
M/S HARITKRANTI AGRO UDYOG,0,0,3
M/S KASTKAR AGRO INDUSTRIES,0,0,12
M/S K K AGRO INDUSTRIES,0,0,1
M/S MAA MANGALA INDUSTRIES,0,0,6
M/S MAA MOTORS WORKS,0,0,6
M/S MAA MOTORS WORKSHOP,0,0,7
M/S NEW SHETKARI ENGINEERING WORK,0,0,9
M/S NEW SHIV SHAKTI TRAILORS,0,0,11
MS PATEL INDUSTRIES JHARSUGUDA PURUNABASTI,0,0,1
M/S RAM AGRO MACHINARY,0,0,1
MS SAHU INDUSTRIES TRAILER KORAPUT JEYPORE,0,0,3
MS SAI AGRO INDUSTRIES KORAPUT JEYPORE,0,0,1
M/S SARANGI MOTROS,0,0,2
